depth,permeability,porosity,Pozo
7330.5,0.0001,0.0018,well1
7331.0,0.0,0.0002,well1
7331.5,0.0,0.0004,well1
7332.0,0.0,0.0009,well1
7332.5,0.0,0.0021,well1
7333.0,0.0001,0.0046,well1
7333.5,0.0001,0.0063,well1
7334.0,0.0054,0.0086,well1
7334.5,1.0256,0.0389,well1
7335.0,4.8021,0.0694,well1
7335.5,2.1184,0.0536,well1
7336.0,0.1415,0.0198,well1
7336.5,0.0002,0.0011,well1
7337.0,0.0,0.0,well1
7337.5,0.0,0.0001,well1
7338.0,0.0,0.0008,well1
7338.5,0.0,1,well1
7339.0,0.0,0.0013,well1
7339.5,0.0,0.0013,well1
7340.0,0.0,0.0014,well1
7340.5,0.0,0.0015,well1
7341.0,0.0,0.0017,well1
7341.5,0.0,0.0009,well1
7342.0,0.0,0.0004,well1
7342.5,0.0,0.0002,well1
7343.0,0.0,0.0001,well1
7343.5,0.0,0.0002,well1
7344.0,0.0,0.0007,well1
7344.5,0.0,0.0006,well1
7345.0,0.0,0.0005,well1
7345.5,0.0,0.0003,well1
7346.0,0.0,0.0002,well1
7346.5,0.0,0.0018,well1
7347.0,0.0003,0.0111,well1
7347.5,0.0004,0.0107,well1
7348.0,0.0003,0.0103,well1
7348.5,0.0004,0.0108,well1
7349.0,0.0005,0.0113,well1
7349.5,0.0105,0.0169,well1
7350.0,0.0596,0.0247,well1
7350.5,0.0119,0.0217,well1
7351.0,1,0.0189,well1
7351.5,0.0005,0.0112,well1
7352.0,0.0001,0.0063,well1
7352.5,0.0,0.0024,well1
7353.0,0.0,0.0008,well1
7353.5,0.0,0.0001,well1
7354.0,0.0,0.0,well1
7354.5,0.0,0.0001,well1
7355.0,0.0,0.0002,well1
7355.5,0.0,0.0001,well1
7356.0,0.0,0.0001,well1
7356.5,0.0,0.0,well1
7357.0,0.0,0.0,well1
7357.5,0.0,0.0001,well1
7358.0,0.0276,1,well1
7358.5,0.2021,0.0393,well1
7359.0,0.0325,0.0001,well1
7359.5,0.0,0.0001,well1
7360.0,0.0,0.0001,well1
7360.5,0.0072,0.0001,well1
7361.0,0.0501,0.0241,well1
7361.5,0.0059,0.0022,well1
7362.0,0.0,0.0001,well1
7362.5,0.0,0.0,well1
7363.0,0.0,0.0,well1
7363.5,0.0,0.0,well1
7364.0,0.0,0.0,well1
7364.5,0.0,0.0004,well1
7365.0,2.4791,0.0058,well1
7365.5,15.9111,88,well1
7366.0,114891,0.1133,well1
7366.5,593.1628,0.1576,well1
7367.0,2787.7939,0.2019,well1
7367.5,2973.3259,0.1997,well1
7368.0,2565.7944,0.1976,well1
7368.5,1524.5217,0.1835,well1
7369.0,800.8054,0.1694,well1
7369.5,251.2497,0.1394,well1
7370.0,59.4144,0.1095,well1
7370.5,6.2859,0.0263,well1
7371.0,9,0.0005,well1
7371.5,0.0,0.0002,well1
7372.0,0.0,0.0,well1
7372.5,0.0,0.0003,well1
7373.0,0.0001,0.0014,well1
7373.5,1.3526,0.0183,well1
7374.0,8.5932,0.0776,well1
7374.5,24.6271,0.0948,well1
7375.0,52.7876,0.1121,well1
7375.5,395.5047,146,well1
7376.0,1264.8824,0.1798,well1
7376.5,2996.7188,0.1977,well1
7377.0,5556.0342,0.2155,well1
7377.5,3764.3569,0.2043,well1
7378.0,2262.2651,0.1932,well1
7378.5,1130.4243,0.1755,well1
7379.0,487.4929,0.1579,well1
7379.5,113659,0.1172,well1
7380.0,8.2836,0.0155,well1
7380.5,0.0002,0.0064,well1
7381.0,0.0,0.0023,well1
7381.5,0.0,0.0021,well1
7382.0,0.0,2,well1
7382.5,0.0,0.0017,well1
7383.0,0.0,0.0015,well1
7383.5,0.0,0.0008,well1
7384.0,0.0,0.0004,well1
7384.5,0.0001,0.0006,well1
7385.0,0.0002,0.0008,well1
7385.5,0.0002,0.0009,well1
7386.0,0.0002,0.0011,well1
7386.5,0.0001,0.0005,well1
7387.0,0.0,0.0002,well1
7387.5,0.0002,0.0008,well1
7388.0,0.0023,0.0025,well1
7388.5,0.0148,0.0083,well1
7389.0,0.0651,0.0231,well1
7389.5,51,0.0187,well1
7390.0,0.03,0.0151,well1
7390.5,0.0056,0.0039,well1
7391.0,0.0004,0.0008,well1
7391.5,0.0001,0.0008,well1
7392.0,0.0001,0.0007,well1
7392.5,0.0002,0.0008,well1
7393.0,0.0002,0.0009,well1
7393.5,0.0004,0.0014,well1
7394.0,0.0007,2,well1
7394.5,0.0003,0.0011,well1
7395.0,0.0001,0.0006,well1
7395.5,0.0,0.0004,well1
7396.0,0.0,0.0002,well1
7396.5,0.0,0.0003,well1
7397.0,0.0,0.0003,well1
7397.5,0.0,0.0003,well1
7398.0,0.0,0.0002,well1
7398.5,0.0,0.0003,well1
7399.0,0.0001,0.0004,well1
7399.5,0.0,0.0004,well1
7400.0,0.0,0.0004,well1
7400.5,0.0001,0.0004,well1
7401.0,0.0001,0.0005,well1
7401.5,0.0001,0.0006,well1
7402.0,0.0001,0.0007,well1
7402.5,0.0001,0.0006,well1
7403.0,0.0001,0.0005,well1
7403.5,0.0005,0.0015,well1
7404.0,0.0053,0.0036,well1
7404.5,0.0352,0.0132,well1
7405.0,0.1879,0.0376,well1
7405.5,0.0626,0.0202,well1
7406.0,0.0196,0.01,well1
7406.5,0.0043,0.0054,well1
7407.0,0.0021,0.0028,well1
7407.5,0.0033,0.0046,well1
7408.0,0.0137,0.0074,well1
7408.5,0.0643,0.0186,well1
7409.0,0.2446,0.0409,well1
7409.5,0.0805,0.0205,well1
7410.0,0.0177,0.0092,well1
7410.5,0.0027,0.0033,well1
7411.0,0.0004,1,well1
7411.5,0.0001,0.0005,well1
7412.0,0.0,0.0003,well1
7412.5,0.0,0.0002,well1
